,restaurant_id,restaurant_name,ratings,reviews
0,1,Punjab Palace,4.0,(707)
1,2,Momo Masala,4.6,(56)
2,3,Shanti,4.2,(662)
3,4,India Pavilion,4.1,(1.1K)
4,5,Mela Modern Indian Cuisine,3.8,(829)
5,6,Indian Kitchen Allston,4.3,(294)
6,7,Tikki Masala,4.1,(392)
7,8,Vaisakhi Indian Kitchen,4.3,(408)
8,9,India Quality Restaurant,3.9,(816)
9,10,Halal Indian Cuisine,3.9,(368)
10,11,Nirvana The Taste of India,4.1,(567)
11,12,Passage To India,3.9,(391)
12,13,Shan-A-Punjab Boston,3.9,(554)
13,14,Singh's Dhaba,4.6,(241)
14,15,Mirchi Nation-Indian Kitchen,4.7,(565)
15,16,WOW TIKKA,4.5,(183)
16,17,WOW TIKKA,4.5,(183)
17,18,Spice Delight,4.6,(362)
18,19,Tanjore Bar and Restaurant,4.0,(375)
19,20,Zam Zam Restaurant,3.9,(358)
20,21,Punjab Express,4.0,(115)
21,22,Royal Punjab,3.5,(359)
22,23,Mint Indian Eatery,4.2,(305)
23,24,Surya Indian Kitchen N Caterers,4.1,(275)
24,25,Taste of India,3.6,(189)
25,26,Punjabi Dhaba,4.0,(1.5K)
26,27,Himalayan Bistro,4.2,(349)
27,28,Momo Masala,4.6,(56)
28,29,Rang Indian Bistro,4.4,(576)
29,30,Sher-A-Punjab,4.0,(684)
30,31,Curry Express,4.5,(171)
31,32,Paradise Biryani Pointe,3.9,(1.1K)
32,33,Vaanga Boston,3.8,(1.1K)
33,34,Priya Indian Cuisine,4.1,(1K)
34,35,Mayuri Indian Cuisine,3.9,(798)
35,36,Godavari,3.8,(2.9K)
36,37,Minerva Indian Cuisine,4.6,(1.3K)
37,38,1947 Norwood,4.2,(682)
38,39,Norwood Spice,4.4,(179)
39,40,Coriander Bistro,4.2,(486)
40,41,Curry Leaf,4.6,(119)
41,42,Honest Restaurant Norwood,4.2,(514)
42,43,Royal Indian Kitchen,,
43,44,Olive & Mint,4.0,(255)
44,45,House Of Tandoor Indian and Nepali Cuisine,4.3,(309)
45,46,Ramsay's Kitchen,4.0,(1.3K)
46,47,Taj Modern Indian Cuisine,4.5,(403)
47,48,Virsa De Punjab,4.4,(992)
48,49,Tikki Masala,4.1,(392)
49,50,The Kebab Factory - An Indian Bistro,3.7,(360)
50,51,The Kebab Factory - An Indian Bistro,3.7,(360)
51,52,Paani Indian Cuisine,4.2,(387)
52,53,Desi Dhaba,4.1,(543)
53,54,Soul of India,4.3,(925)
54,55,Zaika Indian Bistro,4.1,(493)
55,56,Zam Zam Restaurant,3.9,(358)
56,57,Harvest of India,3.5,(196)
57,58,Holi Indian Restaurant,4.1,(676)
58,59,KAVERI INDIAN BISTRO,3.7,(3)
59,60,Shanti Express,2.7,(15)
60,61,BHEEMAS INDIAN CUISINE,4.2,(909)
61,62,D'Guru,4.2,(295)
62,63,Sher-A-Punjab,4.0,(684)
63,64,Maya Indian Bar & Grill,4.4,(538)
64,65,Grand India - Brookline,4.9,(42)
65,66,The Maharaja,4.2,(1.9K)
66,67,Godavari,3.8,(2.9K)
67,68,Clay Oven,4.2,(190)
68,69,Shiva's Kitchen,4.6,(96)
69,70,Hyderabad Express Indian Bistro,3.7,(54)
70,71,Ali's Roti Restaurant,4.4,(873)
71,72,Tashan,4.5,(666)
72,73,Singh's Cafe,4.1,(535)
73,74,Momo N Curry,4.2,(235)
74,75,Paradise Biryani Pointe,3.9,(1.1K)
75,76,Gourmet India,3.7,(126)
76,77,Bombay Chaat,4.0,(97)
77,78,Joti Palace,3.6,(213)
78,79,Chutneys,3.8,(296)
79,80,The House of Kebab,4.2,(224)
80,81,Darul Kabab,3.6,(386)
81,82,Turmeric House,4.5,(383)
82,83,Nawabi Hyderabad House,3.9,(1.2K)
83,84,TANDOORI DELIGHT BY NACHLO,4.3,(309)
84,85,"Home Kitchen, Inc.",4.6,(34)
85,86,Zuzu Momo Restaurant and Bar,4.4,(432)
86,87,Peshawri Kebabs,4.6,(563)
87,88,Food Shines,4.5,(192)
88,89,Everest Momo and Pizza,4.5,(106)
